PROXY_NYT_ENG_20071115_0274.5	show-01	yes
PROXY_NYT_ENG_20071115_0274.5	use-01	yes
NW_XIN_ENG_0192_2005_0906.10	new-01	yes
NW_XIN_ENG_0192_2005_0906.10	private-03	yes
NW_XIN_ENG_0192_2005_0906.10	find-01	yes
PROXY_XIN_ENG_20020905_0122.7	commit-02	yes
DF-199-194215-653_0484.16	use-01	yes
PROXY_XIN_ENG_20021123_0156.19	close-10	yes
PROXY_XIN_ENG_20040429_0189.36	worry-02	yes
ENG_DF_000170_20050903_C00020J0V_0001.6	use-03	yes
ENG_DF_000170_20050903_C00020J0V_0001.6	get-01	yes
PROXY_XIN_ENG_20021228_0162.11	include-01	no
PROXY_XIN_ENG_20021228_0162.11	rule-03	yes
PROXY_LTW_ENG_20070930_0021.26	view-02	yes
PROXY_LTW_ENG_20070930_0021.26	include-01	no
ENG_NA_020001_20161020_G0023FSW2_0001.7	have-03	yes
wb.eng_0003.75	apply-02	yes
PROXY_XIN_ENG_20040429_0189.29	give-01	yes
DF-200-192400-625_7046.10	feel-01	yes
DF-200-192400-625_7046.10	worry-02	yes
NW_XIN_ENG_0191_2005_0405.7	have-03	yes
NW_XIN_ENG_0191_2005_0405.7	measure-01	yes
NW_XIN_ENG_0191_2005_0405.7	use-01	yes
nw.chtb_0318.11	feel-02	yes
nw.chtb_0318.11	serious-01	yes
PROXY_NYT_ENG_20081008_0040.34	claim-01	yes
PROXY_NYT_ENG_20081008_0040.34	include-01	no
ENG_NA_020001_20161020_G0023FSUR_0001.4	take-01	yes
ENG_NA_020001_20161020_G0023FSUR_0001.4	find-01	yes
NW_AFP_ENG_0013_2003_0427.6	charge-05	yes
nw.chtb_0305.5	question-01	yes
nw.chtb_0305.5	sign-01	yes
PROXY_LTW_ENG_20080727_0030.32	run-01	yes
PROXY_XIN_ENG_20030709_0070.6	consider-01	yes
PROXY_NYT_ENG_20081008_0040.29	deal-01	yes
PROXY_LTW_ENG_20081115_0076.25	manage-02	yes
PROXY_LTW_ENG_20081115_0076.25	lead-02	yes
PROXY_LTW_ENG_20081115_0076.25	lead-02	yes
PROXY_LTW_ENG_20081115_0076.25	lead-02	yes
PROXY_LTW_ENG_20081115_0076.25	lead-02	yes
PROXY_LTW_ENG_20081115_0076.25	act-02	yes
PROXY_XIN_ENG_20020725_0113.15	hold-04	yes
ENG_NA_020001_20161020_G0023FSUO_0001.4	good-02	yes
PROXY_XIN_ENG_20021123_0156.13	sign-02	yes
PROXY_XIN_ENG_20040429_0189.43	ask-02	yes
PROXY_XIN_ENG_20020725_0333.13	close-13	yes
ENG_NA_020001_20161020_G0023FSVF_0001.5	look-02	yes
PROXY_NYT_ENG_20040724_0084.33	apply-02	yes
ENG_NA_020001_20161020_G0023FSV3_0001.6	find-01	yes
PROXY_NYT_ENG_20070828_0223.16	make-01	yes
ENG_NA_020001_20161020_G0023FSUL_0001.5	know-01	yes
ENG_NA_020001_20161020_G0023FSUL_0001.5	clear-06	yes
PROXY_XIN_ENG_20020725_0333.8	base-02	yes
DF-200-192400-625_7557.7	cut-01	yes
PROXY_LTW_ENG_20081115_0076.11	close-13	yes
PROXY_LTW_ENG_20081115_0076.11	feel-01	yes
PROXY_LTW_ENG_20081115_0076.11	act-02	yes
PROXY_NYT_ENG_20050716_0171.16	ask-01	yes
bolt12_6455_6561.6	ask-01	yes
bolt12_6455_6561.6	go-01	yes
bolt12_6455_6561.6	mean-01	yes
PROXY_XIN_ENG_20040922_0123.14	develop-02	yes
wb.eng_0003.17	new-01	yes
PROXY_XIN_ENG_20040429_0189.16	include-91	no
NW_XIN_ENG_0209_2008_0513.6	try-01	yes
NW_XIN_ENG_0209_2008_0513.6	short-07	yes
bolt12_6455_6562.26	have-03	yes
bolt12_6455_6562.26	right-05	yes
bolt12_6455_6562.26	responsible-02	yes
bolt12_6455_6562.26	present-01	yes
bolt12_6455_6562.11	call-02	yes
bolt12_6455_6562.11	move-01	yes
PROXY_NYT_ENG_20070828_0223.4	lead-01	yes
PROXY_NYT_ENG_20070828_0223.4	new-01	yes
DF-200-192400-625_6304.13	feel-01	yes
