ENG_DF_000170_20050903_C00020J0V_0001.60	respond-01	you
DF-200-192392-456_1160.6	take-01	you
ENG_NA_020001_20161020_G0023FSVW_0001.4	save-02	you
DF-199-194215-653_0484.31	try-01	you
DF-200-192400-625_6304.20	break-01	you
ENG_NA_020001_20161020_G0023FSUJ_0001.6	help-01	you
DF-199-194215-653_0484.32	tell-01	you
bolt12_6455_6562.24	let-01	you
DF-199-194215-653_0484.28	make-02	you
wb.eng_0003.37	think-01	you
ENG_NA_020001_20161020_G0023FSV1_0001.4	help-01	you
wb.eng_0003.54	come-on-25	None
DF-199-194215-653_0484.29	keep-01	you
ENG_NA_020001_20161020_G0023FSVY_0001.6	send-01	you
ENG_NA_020001_20161020_G0023FSUM_0001.6	come-01	None
DF-199-194215-653_0484.27	quit-01	you
DF-199-194215-653_0484.27	make-02	you
bolt12_91455_5339.1	stop-01	you
bolt12_91455_5339.1	behave-01	you
ENG_NA_020001_20161020_G0023FSVD_0001.4	send-01	you
DF-200-192400-625_7744.19	check-01	you
DF-200-192400-625_7744.19	leave-14	you
DF-199-194215-653_0484.20	do-02	you
DF-199-194215-653_0484.19	meet-03	you
DF-199-194215-653_0484.18	date-02	you
bolt12_6455_6561.18	look-01	you
ENG_NA_020001_20161020_G0023FSV0_0001.7	pass-05	you
bolt12_6455_6567.1	go-01	None
ENG_NA_020001_20161020_G0023FSUZ_0001.7	bring-01	you
bolt12_6455_6562.15	protect-01	you
DF-200-192400-625_6304.22	shut-off-03	you
DF-200-192400-625_6304.22	do-02	you
DF-200-192400-625_6304.22	keep-02	you
DF-200-192400-625_7744.16	visit-01	you
ENG_NA_020001_20161020_G0023FSVT_0001.4	help-01	you
ENG_NA_020001_20161020_G0023FSUV_0001.4	do-02	you
ENG_NA_020001_20161020_G0023FSVW_0001.7	do-02	you
ENG_NA_020001_20161020_G0023FSV1_0001.5	send-01	you
ENG_DF_000170_20050903_C00020J0V_0001.65	send-01	you
DF-200-192400-625_6304.25	try-01	you
ENG_DF_000170_20050903_C00020J0V_0001.24	contact-01	you
bolt12_91455_5331.1	shoot-02	you
DF-200-192400-625_7744.17	worry-02	you
bolt12_91455_5322.1	look-01	you
ENG_NA_020001_20161020_G0023FSVV_0001.7	help-01	you
wb.eng_0003.99	forbid-01	god
wb.eng_0003.61	pay-01	business
wb.eng_0003.61	incentivize-01	we
ENG_NA_020001_20161020_G0023FSV6_0001.4	save-01	you
DF-199-194215-653_0484.30	get-01	you
DF-199-194215-653_0484.30	divorce-01	you
DF-200-192400-625_7046.11	kind-01	you
DF-200-192400-625_7046.11	get-01	you
DF-200-192400-625_6304.18	go-02	you
DF-200-192400-625_6304.18	see-01	you
DF-200-192400-625_6304.18	see-01	you
bolt12_6455_6561.14	create-01	we
bolt12_6455_6561.14	choose-01	we
DF-200-192400-625_7557.29	do-02	you
bolt12_6455_6561.33	increase-01	you
bolt12_6455_6561.33	accelerate-01	you
bolt12_6455_6561.33	establish-01	you
ENG_DF_000170_20050903_C00020J0V_0001.27	leave-02	you
ENG_DF_000170_20050903_C00020J0V_0001.27	call-02	you
ENG_NA_020001_20161020_G0023FSUO_0001.8	help-01	you
ENG_NA_020001_20161020_G0023FSUS_0001.5	tell-01	you
DF-200-192400-625_7806.16	go-02	you
DF-200-192400-625_6304.19	send-01	you
DF-200-192400-625_6304.19	worry-02	you
bolt12_64556_5627.1	support-01	you
bolt12_6455_6562.11	carry-01	we
ENG_DF_000170_20050903_C00020J0V_0001.15	contact-01	you
bolt12_64556_5627.2	pledge-01	you
DF-200-192400-625_6304.21	concentrate-01	you
DF-200-192400-625_6304.21	start-01	you
DF-200-192400-625_7744.25	worry-02	you
bolt12_6455_6562.26	strong-02	None
bolt12_6455_6562.26	let-01	person
bolt12_6455_6566.4	let-know-07	you
bolt12_6455_6566.4	let-01	you
bolt12_6455_6566.4	get-05	country
bolt12_6455_6562.14	paint-01	you
DF-200-192400-625_7557.35	remember-01	you
bolt12_64556_5627.4	go-back-19	None
bolt12_64556_5627.4	strong-02	None
bolt12_64556_5627.4	sharp-02	None
bolt12_64556_5627.4	shine-01	knife
bolt12_64556_5627.4	bury-01	we
wb.eng_0003.20	think-01	you
