NW_XIN_ENG_0191_2005_0405.9	slide-01	:ARG0	person
NW_AFP_ENG_0011_2003_0417.8	black-06	:ARG1	magic
PROXY_NYT_ENG_20050716_0171.64	indoctrinate-01	:ARG0	person
PROXY_NYT_ENG_20050716_0171.64	indoctrinate-01	:ARG1	and
PROXY_NYT_ENG_20050716_0171.10	detract-01	:ARG0	person
PROXY_NYT_ENG_20050716_0171.10	restructure-01	:ARG1	democracy
PROXY_NYT_ENG_20050716_0171.10	militarize-01	:ARG2	political-movement
PROXY_NYT_ENG_20050716_0171.10	indoctrinate-01	:ARG1	militia
wb.eng_0003.29	congest-01	:ARG2	traffic
PROXY_NYT_ENG_20070618_0031.16	recoup-01	:ARG1	time
PROXY_NYT_ENG_20050716_0171.52	repel-01	:ARG0	game
PROXY_NYT_ENG_20050716_0171.52	repel-01	:ARG1	country
NW_AFP_ENG_0009_2003_0330.5	string-01	:ARG1	protest-01
DF-200-192400-625_7806.15	mention-01	:ARG2	person
PROXY_NYT_ENG_20070828_0223.29	experiment-01	:ARG2	plutonium
PROXY_NYT_ENG_20081128_0005.7	retreat-02	:ARG1	cultivate-01
NW_AFP_ENG_0019_2003_0630.19	cross-01	:ARG1	border
PROXY_LTW_ENG_20080727_0030.8	articulate-01	:ARG0	country
PROXY_XIN_ENG_20021020_0012.5	ambush-01	:ARG0	guerrilla
PROXY_LTW_ENG_20070831_0072.24	design-02	:ARG0	government-organization
NW_AFP_ENG_0019_2003_0630.2	take-up-38	:ARG0	person
NW_AFP_ENG_0019_2003_0630.2	take-up-38	:ARG1	position
NW_XIN_ENG_0191_2005_0405.15	hamper-01	:ARG0	and
NW_XIN_ENG_0191_2005_0405.15	thick-02	:ARG1	snow
NW_AFP_ENG_0013_2003_0427.2	defile-01	:ARG1	verse
wb.eng_0003.28	congest-01	:ARG0	they
wb.eng_0003.28	congest-01	:ARG2	traffic
DF-200-192400-625_7557.14	forbid-01	:ARG2	i
wb.eng_0003.5	congest-01	:ARG1	around
wb.eng_0003.5	congest-01	:ARG2	traffic
wb.eng_0003.5	localize-01	:ARG1	congest-01
PROXY_XIN_ENG_20031107_0242.12	advocate-01	:ARG2	agenda
DF-200-192400-625_7744.16	wean-01	:ARG2	habit
PROXY_LTW_ENG_20081115_0076.13	strike-05	:ARG0	party
PROXY_LTW_ENG_20081115_0076.13	strike-05	:ARG1	deal-01
NW_XIN_ENG_0193_2006_0822.10	discharge-01	:ARG1	water
wb.eng_0003.9	intersect-01	:ARG0	road
wb.eng_0003.9	up-02	:ARG3	accident
DF-200-192400-625_6344.2	round-03	:ARG1	she
DF-200-192400-625_6344.2	round-03	:ARG2	bend
bolt12_6455_6561.29	yellow-01	:ARG1	page
bolt12_6455_6561.29	contemplate-01	:ARG0	person
bolt12_6455_6561.29	contemplate-01	:ARG1	thing
bolt12_6455_6561.29	unify-01	:ARG0	person
PROXY_NYT_ENG_20080919_0209.7	deface-01	:ARG1	website
PROXY_NYT_ENG_20080919_0209.7	block-01	:ARG2	attack-01
NW_AFP_ENG_0019_2003_0630.14	run-04	:ARG3	east
NW_AFP_ENG_0019_2003_0630.14	run-04	:ARG4	west
DF-200-192400-625_6304.6	disillusion-01	:ARG0	course
DF-200-192400-625_6304.6	disillusion-01	:ARG1	i
DF-200-192400-625_6304.6	set-14	:ARG1	project
bolt12_6455_6562.8	abandon-03	:ARG1	commit-01
bolt12_6455_6561.8	ravage-01	:ARG0	country
bolt12_6455_6561.8	ravage-01	:ARG1	country
PROXY_NYT_ENG_20040724_0084.29	gesture-01	:ARG0	person
PROXY_NYT_ENG_20040724_0084.29	retribute-01	:ARG1	person
bolt12_6455_6561.18	strangle-01	:ARG0	encircle-01
bolt12_6455_6561.18	strangle-01	:ARG1	develop-02
bolt12_6455_6561.18	covet-01	:ARG0	encircle-01
bolt12_6455_6561.18	covet-01	:ARG1	territory
PROXY_NYT_ENG_20081008_0040.7	liken-03	:ARG1	negotiate-01
PROXY_NYT_ENG_20081008_0040.7	liken-03	:ARG0	person
ENG_NA_020001_20161020_G0023FSVB_0001.4	thirst-01	:ARG0	we
NW_XIN_ENG_0193_2006_0822.11	assess-01	:ARG2	lose-01
NW_XIN_ENG_0209_2008_0513.20	dispose-01	:ARG0	victim
PROXY_NYT_ENG_20081008_0040.16	ransom-01	:ARG1	ship
PROXY_NYT_ENG_20081008_0040.16	ransom-01	:ARG2	between
PROXY_NYT_ENG_20040724_0084.42	busy-02	:ARG1	route
NW_AFP_ENG_0011_2003_0417.1	hack-01	:ARG1	member
NW_XIN_ENG_0209_2008_0513.18	exclaim-01	:ARG0	she
PROXY_XIN_ENG_20040429_0189.39	temper-01	:ARG1	economy
bolt12_6455_6566.4	clean-out-03	:ARG0	we
bolt12_6455_6566.4	clean-out-03	:ARG1	bureaucrat
PROXY_LTW_ENG_20080727_0030.5	hint-01	:ARG0	country
DF-200-192400-625_7200.10	curl-01	:ARG1	toe
DF-200-192400-625_7200.10	straighten-01	:ARG1	toe
PROXY_NYT_ENG_20080808_0162.26	resolve-02	:ARG0	country
NW_AFP_ENG_0014_2003_0502.6	stake-01	:ARG2	park
DF-200-192400-625_7744.4	craze-01	:ARG1	i
DF-200-192400-625_6344.35	nag-01	:ARG0	person
PROXY_NYT_ENG_20071115_0274.12	avail-01	:ARG0	person
PROXY_NYT_ENG_20080919_0209.6	deface-01	:ARG1	website
DF-200-192400-625_6344.25	abuse-03	:ARG1	i
DF-200-192400-625_7046.16	sum-up-01	:ARG0	you
DF-200-192400-625_7046.16	work-10	:ARG0	you
DF-200-192400-625_7046.16	work-10	:ARG1	bottom
DF-200-192400-625_7046.16	work-10	:ARG2	off
PROXY_XIN_ENG_20020725_0113.5	exploit-01	:ARG2	commit-02
DF-200-192400-625_7806.5	hold-off-08	:ARG1	act-02
ENG_DF_000170_20050903_C00020J0V_0001.35	take-in-06	:ARG0	we
ENG_DF_000170_20050903_C00020J0V_0001.35	take-in-06	:ARG1	and
PROXY_XIN_ENG_20020725_0333.10	fight-off-02	:ARG0	operation
PROXY_XIN_ENG_20020725_0333.10	fight-off-02	:ARG1	and
wb.eng_0003.47	hammer-02	:ARG0	situation
wb.eng_0003.47	hammer-02	:ARG1	valid-02
PROXY_XIN_ENG_20030624_0298.19	fall-out-03	:ARG1	and
PROXY_XIN_ENG_20030428_0226.16	check-07	:ARG1	terrorism
wb.eng_0003.17	congest-01	:ARG2	traffic
nw.chtb_0305.6	commend-01	:ARG0	person
PROXY_XIN_ENG_20020829_0017.6	defuse-01	:ARG0	team
NW_XIN_ENG_0194_2007_0704.7	pack-05	:ARG0	tornado
NW_XIN_ENG_0194_2007_0704.7	pack-05	:ARG1	wind-01
bolt12_6455_6562.10	unify-01	:ARG0	person
PROXY_NYT_ENG_20040724_0084.24	dissuade-01	:ARG0	government-organization
PROXY_NYT_ENG_20040724_0084.24	dissuade-01	:ARG1	person
PROXY_XIN_ENG_20041219_0059.6	commercialize-01	:ARG1	research-01
DF-200-192400-625_7557.17	torture-01	:ARG0	i
NW_AFP_ENG_0013_2003_0427.8	punishable-02	:ARG3	die-01
wb.eng_0003.92	go-07	:ARG1	gas
wb.eng_0003.92	go-07	:ARG3	monetary-quantity
NW_AFP_ENG_0019_2003_0630.15	lead-01	:ARG3	town
