DF-200-192392-456_1160.6	get-05	:ARG1	you	unaccusative	double unaccusative
DF-200-192400-625_7744.20	increase-01	:ARG1	level	unaccusative	
DF-200-192400-625_7744.20	disappear-01	:ARG1	disease	unaccusative	
NW_XIN_ENG_0195_2008_0420.1	evacuate-01	:ARG1	person	passive	
PROXY_NYT_ENG_20020406_0118.24	cut-02	:ARG1	electricity	n-pro	
PROXY_NYT_ENG_20040724_0084.26	close-01	:ARG1	and	unaccusative	
DF-200-192400-625_7557.7	tempt-01	:ARG1	i	passive	i am tempted to
PROXY_XIN_ENG_20040922_0123.15	fight-01	:ARG1	and	no	
NW_AFP_ENG_0019_2003_0630.14	run-04	:ARG1	road	unaccusative	double unaccusative
NW_AFP_ENG_0019_2003_0630.14	close-01	:ARG1	and	adjective	closed
NW_AFP_ENG_0019_2003_0630.14	pass-03	:ARG1	highway	unaccusative	
NW_AFP_ENG_0019_2003_0630.14	open-01	:ARG1	and	no	
DF-200-192400-625_7200.1	diagnose-01	:ARG1	i	passive	
PROXY_XIN_ENG_20030428_0226.19	arrive-01	:ARG1	person	unaccusative	
bolt12_6455_6562.11	tremble-01	:ARG1	piece	unaccusative	
bolt12_6455_6562.11	shake-01	:ARG1	piece	unaccusative	
bolt12_6455_6562.11	say-01	:ARG1	carry-01	no	
bolt12_6455_6562.11	move-01	:ARG1	we	unaccusative	
NW_XIN_ENG_0193_2006_0822.4	continue-01	:ARG1	bad-07 situation	no	 sentence is a bit weird
bolt12_91455_5324.1	eat-01	:ARG1	something	n-pro	
PROXY_XIN_ENG_20040429_0189.19	create-01	:ARG1	channel	a-pro	
PROXY_XIN_ENG_20040429_0189.19	settle-02	:ARG1	dispute-01	n-ing	
PROXY_XIN_ENG_20031107_0242.4	arrive-01	:ARG1	person	unaccusative	
PROXY_XIN_ENG_20031107_0242.4	schedule-01	:ARG1	discuss-01	passive	reduced relative
PROXY_NYT_ENG_20070828_0223.10	close-01	:ARG1	investigate-01	adjective	closed
NW_XIN_ENG_0195_2008_0420.13	exude-01	:ARG1	water	error?	
PROXY_NYT_ENG_20071115_0274.12	convert-01	:ARG1	item	passive	
PROXY_LTW_ENG_20070831_0072.24	make-01	:ARG1	progress-01	passive	
PROXY_NYT_ENG_20080919_0209.20	bear-02	:ARG1	person	passive	born
NW_XIN_ENG_0195_2008_0420.17	kill-01	:ARG1	person	passive	
PROXY_LTW_ENG_20070831_0072.18	use-01	:ARG1	uranium	passive	
DF-200-192400-625_7200.16	drill-02	:ARG1	person	passive	
NW_AFP_ENG_0009_2003_0330.3	join-01	:ARG1	i	error	
NW_XIN_ENG_0195_2008_0420.3	threaten-01	:ARG1	slide-01	error	
NW_XIN_ENG_0195_2008_0420.3	evacuate-01	:ARG1	person	passive	
PROXY_XIN_ENG_20040429_0189.17	expect-01	:ARG1	double-01	passive	
PROXY_XIN_ENG_20040429_0189.17	double-01	:ARG1	trade-01	unaccusative	double unaccusative
PROXY_NYT_ENG_20081008_0040.23	remain-01	:ARG1	deal-01	unaccusative	double unaccusative
PROXY_LTW_ENG_20070831_0072.9	reflect-01	:ARG1	thing	unaccusative	
DF-200-192400-625_7557.28	let-01	:ARG1	worsen-01	a-pro	
DF-200-192400-625_7557.28	get-01	:ARG1	thing	error	get-03
ENG_NA_020001_20161020_G0023FSV3_0001.4	fall-01	:ARG1	rock	adjective	
PROXY_LTW_ENG_20070930_0021.8	distribute-01	:ARG1	document	passive	
bolt12_64556_5628.1	come-03	:ARG1	war	unaccusative	
bolt12_64556_5628.1	defend-01	:ARG1	dignity	error?	
DF-200-192400-625_7557.17	do-02	:ARG1	thing	error?	
bolt12_91455_5322.1	force-01	:ARG1	person	passive	
bolt12_91455_5322.1	frame-02	:ARG1	person	passive	
NW_AFP_ENG_0012_2003_0419.10	seem-01	:ARG1	end-01	expletive	it seems
NW_AFP_ENG_0012_2003_0419.10	start-01	:ARG1	spell	unaccusative	
bolt12_6455_6562.7	retain-01	:ARG1	submarine	error?	imperative?
PROXY_XIN_ENG_20040407_0026.14	place-01	:ARG1	alert-01	passive	
PROXY_XIN_ENG_20040407_0026.14	start-01	:ARG1	week	no	unclear
