#	Sentence	Annotation	Comments
1	The city councilmen refused the demonstrators a permit because they feared violence.	"(r / refuse-01
      :ARG0 (p / person
            :ARG0-of (h / have-org-role-91
                  :ARG1 (c / city)
                  :ARG2 (c2 / councilman)))
      :ARG1 (p2 / permit-01)
      :ARG2 (p3 / person
            :ARG0-of (d / demonstrate-01))
      :ARG1-of (c3 / cause-01
            :ARG0 (f / fear-01
                  :ARG0 p
                  :ARG1 (v / violence))))"	
2	The city councilmen refused the demonstrators a permit because they advocated violence.	"(r / refuse-01
      :ARG0 (p / person
            :ARG0-of (h / have-org-role-91
                  :ARG1 (c / city)
                  :ARG2 (c2 / councilman)))
      :ARG1 (p2 / permit-01)
      :ARG2 (p3 / person
            :ARG0-of (d / demonstrate-01))
      :ARG1-of (c3 / cause-01
            :ARG1 (a / advocate-01
                  :ARG0 p3
                  :ARG1 (v / violence))))"	
3	The trophy doesn't fit into the brown suitcase because it is too large.	"(f / fit-06 :polarity -
      :ARG1 (t / trophy)
      :ARG2 (s / suitcase
            :ARG1-of (b / brown-01))
      :ARG1-of (c / cause-01
            :ARG0 (h / have-degree-91
                  :ARG1 t
                  :ARG2 (l / large)
                  :ARG3 (t2 / too))))"	
4	The trophy doesn't fit into the brown suitcase because it is too small.	"(f / fit-06 :polarity -
      :ARG1 (t / trophy)
      :ARG2 (s / suitcase
            :ARG1-of (b / brown-01))
      :ARG1-of (c / cause-01
            :ARG0 (h / have-degree-91
                  :ARG1 s
                  :ARG2 (s2 / small)
                  :ARG3 (t2 / too))))"	
5	Joan made sure to thank Susan for all the help she had recieved.	"(e / ensure-01
      :ARG0 (p / person :name (n / name :op1 ""Joan""))
      :ARG1 (t / thank-01
            :ARG0 p
            :ARG1 (p2 / person :name (n2 / name :op1 ""Susan""))
            :ARG2 (h / help-01
                  :ARG1-of (r / receive-01
                        :ARG0 p)
                  :mod (a / all))))"	
6	Joan made sure to thank Susan for all the help she had given.	"(e / ensure-01
      :ARG0 (p / person :name (n / name :op1 ""Joan""))
      :ARG1 (t / thank-01
            :ARG0 p
            :ARG1 (p2 / person :name (n2 / name :op1 ""Susan""))
            :ARG2 (h / help-01
                  :ARG1-of (g / give-01
                        :ARG0 p2)
                  :mod (a / all))))"	
7	Paul tried to call George on the phone, but he wasn't successful.	"(c / contrast-01
      :ARG1 (t / try
            :ARG0 (p / person :name (n / name :op1 ""Paul""))
            :ARG1 (c2 / call-02
                  :ARG0 p
                  :ARG1 (p2 / person :name (n2 / name :op1 ""George""))
                  :instrument (p3 / phone)))
      :ARG2 (s / succeed-01 :polarity -
            :ARG0 p))"	"change contrast-01 to concession?; ""on the phone"" - :instrument best role? Or :prep-on?"
8	Paul tried to call George on the phone, but he wasn't available.	"(c / contrast-01
      :ARG1 (t / try
            :ARG0 (p / person :name (n / name :op1 ""Paul""))
            :ARG1 (c2 / call-02
                  :ARG0 p
                  :ARG1 (p2 / person :name (n2 / name :op1 ""George""))
                  :instrument (p3 / phone)))
      :ARG2 (a / available-02 :polarity -
            :ARG2 p2))"	"""on the phone"" - :instrument best role? Or :prep-on?"
9	The lawyer asked the witness a question, but he was reluctant to repeat it.	"(c / contrast-01
      :ARG1 (a / ask-01
            :ARG0 (l / lawyer)
            :ARG1 (q / question-01)
            :ARG2 (p / person
                  :ARG0-of (w / witness-01)))
      :ARG2 (r / reluctant-01
            :ARG0 l
            :ARG1 (r2 / repeat-01
                  :ARG0 l
                  :ARG1 q)))"	
10	The lawyer asked the witness a question, but he was reluctant to answer it.	"(c / contrast-01
      :ARG1 (a / ask-01
            :ARG0 (l / lawyer)
            :ARG1 (q / question-01)
            :ARG2 (p / person
                  :ARG0-of (w / witness-01)))
      :ARG2 (r / reluctant-01
            :ARG0 p
            :ARG1 (a2 / answer-01
                  :ARG0 p
                  :ARG1 q)))"	
