sentence	graph	comment
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.	(m / multi-sentence       :snt1 (c / collapse-01             :ARG1 (p / person :name (n / name :op1 "Bob"))             :ARG4 (s / sidewalk))       :snt2 (s2 / see-01             :ARG0 p             :ARG1 (c2 / come-01                   :ARG1 (p2 / person :name (n2 / name :op1 "Carl"))                   :purpose (h / help-01))             :time (s3 / soon))       :snt3 (i2 / ill             :domain p             :degree (v / very)))	 
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.	(m / multi-sentence        :snt1 (c / collapse-01              :ARG1 (p / person :name (n / name :op1 "Bob" ))              :ARG4 (s / sidewalk))        :snt2 (s2 / see-01              :ARG0 p              :ARG1 (c2 / come-01                    :ARG1 (p2 / person :name (n2 / name :op1 "Carl"))                    :purpose (h / help-01))              :time (s3 / soon))        :snt3 (c / concern-01              :ARG1 (h / he)              :degree (v / very)))	 
Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.	(l / love-01        :ARG0 (a / and              :op1 (p / person :name (n / name :op1 "Sam"))              :op2 (p2 / person :name (n2 / name :op1 "Amy")))        :ARG1 (o / other              :mod (e / each))        :manner (p3 / passionate)        :concession (h / happy-01 :polarity -              :ARG1 (p4 / parent                    :poss p2)              :topic l              :ARG1-of (c / cause-01                    :ARG0 (f / fifteen                          :domain a))))	"Because they are fifteen" I put the reentrancy on the 'and'.  
Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.	(l / love-01        :ARG0 (a / and              :op1 (p / person :name (n / name :op1 "Sam"))              :op2 (p2 / person :name (n2 / name :op1 "Amy")))        :ARG1 (o / other              :mod (e / each))        :manner (p3 / passionate)        :concession (h / happy-01 :polarity -              :ARG1 (p4 / parent                    :poss p2)              :topic l              :ARG1-of (c / cause-01                    :ARG0 (s / snob                          :domain p4))))	 
Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.	(m / multi-sentence        :snt1 (l / lie-08              :ARG0 (p / person :name (n / name :op1 "Mark"))              :ARG2 (p2 / person :name (n2 / name :op1 "Pete"))              :ARG3 p              :ARG1-of (i2 / include-01                    :ARG0 p2                    :ARG2 (b / book                          :poss p2)))        :snt2 (r / recommend-01              :ARG1 (t / truthful                    :ARG2-of (h / have-degree-91                          :ARG1 p                          :ARG3 (m2 / more)))))	 
Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.	(m / multi-sentence        :snt1 (l / lie-08              :ARG0 (p / person :name (n / name :op1 "Mark"))              :ARG2 (p2 / person :name (n2 / name :op1 "Pete"))              :ARG3 p              :ARG1-of (i2 / include-01                    :ARG0 p2                    :ARG2 (b / book                          :poss p2)))        :snt2 (r / recommend-01              :ARG1 (s / skeptical                    :ARG2-of (h / have-degree-91                          :ARG1 p2                          :ARG3 (m2 / more)))))	 
Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.	(m / multi-sentence        :op1 (a / and              :op1 (s / sell-01                    :ARG0 (p / person :name (n / name :op1 "Joe"))                    :ARG1 (h / house                          :poss p))              :op2 (b / buy-01                    :ARG0 p                    :ARG1 (h2 / house                          :mod (n2 / new)                          :location (r / relative-position                                :op1 (a2 / away)                                :quant (d / distance-quantity                                      :unit (m2 / mile                                            :quant (f / few)))))))        :op2 (m3 / move-01              :ARG0 p              :ARG2 (o / out-05                    :ARG2 h)              :time (t / thursday)))	 
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.	(m / multi-sentence        :op1 (a / and              :op1 (s / sell-01                    :ARG0 (p / person :name (n / name :op1 "Joe"))                    :ARG1 (h / house                          :poss p))              :op2 (b / buy-01                    :ARG0 p                    :ARG1 (h2 / house                          :mod (n2 / new)                          :location (r / relative-position                                :op1 (a2 / away)                                :quant (d / distance-quantity                                      :unit (m2 / mile                                            :quant (f / few)))))))        :op2 (m3 / move-01              :ARG0 p              :ARG2 h2              :time (t / thursday)))	 
Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.	(m / multi-sentence        :snt1 (a / and              :op1 (s / start-01                    :ARG0 (p / person                          :quant (m2 / many))                    :ARG2 (r / read-01                          :ARG1 (b / book                                :poss (p2 / person :name (n / name :op1 "Paul")))))              :op2 (p3 / possible-01 :polarity -                    :ARG1 (p4 / put-01                          :ARG1 b                          :ARG2 (d / down))))        :snt2 (g / grip-01              :ARG1 p              :ARG1-of (c / cause-01                    :ARG0 (g2 / good                          :mod-of (w / write-01                                :ARG0 p2)))))	 
Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.	(m / multi-sentence        :snt1 (a / and              :op1 (s / start-01                    :ARG0 (p / person                          :quant (m2 / many))                    :ARG2 (r / read-01                          :ARG1 (b / book                                :poss (p2 / person :name (n / name :op1 "Paul")))))              :op2 (p3 / possible-01 :polarity -                    :ARG1 (p4 / put-01                          :ARG1 b                          :ARG2 (d / down))))        :snt2 (w / write-01              :ARG0 p2              :mod (g / good)              :ARG0-of (c / cause-01                    :ARG1 (p5 / popular                          :domain b))))	 
Mary took out her flute and played one of her favorite pieces. She has had it since she was a child.	(m / multi-sentence        :snt1 (a / and              :op1 (t / take-01                    :ARG0 (p / person :name (n / name :op1 "Mary"))                    :ARG1 (f / flute                          :poss p)                    :ARG2 (o / out))              :op2 (p2 / play-11                    :ARG0 p                    :ARG1 (p3 / piece                          :ARG1-of (i2 / include-91                                :ARG2 (f2 / favorite                                      :domain (p4 / piece))))))        :snt2 (h / have-03              :ARG0 p              :ARG1 f              :time (s / since                    :op1 (c / child                          :domain p))))	 
Mary took out her flute and played one of her favorite pieces. She has loved it since she was a child.	(m / multi-sentence        :snt1 (a / and              :op1 (t / take-01                    :ARG0 (p / person :name (n / name :op1 "Mary"))                    :ARG1 (f / flute                          :poss p)                    :ARG2 (o / out))              :op2 (p2 / play-11                    :ARG0 p                    :ARG1 (p3 / piece                          :ARG1-of (i2 / include-91                                :ARG2 (f2 / favorite                                      :domain (p4 / piece))))))        :snt2 (l / love-01              :ARG0 p              :ARG1 p3              :time (s / since                    :op1 (c / child                          :domain p))))	 
Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.	(p / pull-01        :ARG0 (p2 / person :name (n / name :op1 "Sam"))        :ARG1 (c / chair)        :ARG2 (p3 / piano)        :concession (b / break-01              :ARG1 c              :ARG0-of (c2 / cause-01                    :ARG1 (o / obligate-01                          :ARG1 p2                          :ARG2 (s / stand-01)))))	 
Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.	(p / pull-01        :ARG0 (p2 / person :name (n / name :op1 "Sam"))        :ARG1 (c / chair)        :ARG2 (p3 / piano)        :concession (b / break-01              :ARG1 p3              :ARG0-of (c2 / cause-01                    :ARG1 (o / obligate-01                          :ARG1 p2                          :ARG2 (s / sing-01))))) 	 
Since it was raining, I carried the newspaper in my backpack to keep it dry.	(c2 / carry-01        :ARG0 (i / i)        :ARG1 (n / newspaper)        :ARG2 (b / backpack :poss i)        :purpose (k / keep-01              :ARG1 (d / dry                    :domain n))        :ARG1-of (c3 / cause-01              :ARG0 (r / rain-01)))	 
Since it was raining, I carried the newspaper over my backpack to keep it dry.	(c2 / carry-01        :ARG0 (i / i)        :ARG1 (n / newspaper)        :purpose (k / keep-01              :ARG1 (d / dry                    :domain b))        :ARG1-of (c3 / cause-01              :ARG0 (r / rain-01))        :location (o / over              :op1 (b / backpack                    :poss i)))	 
Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.	(m / multi-sentence        :snt1 (b / borrow-01              :ARG0 (p / person :name (n / name :op1 "Sara"))              :ARG1 (b2 / book)              :ARG2 (l / library)              :ARG1-of (c2 / cause-01                    :ARG0 (n2 / need-01                          :ARG0 p                          :ARG1 (a / article                                :ARG1-of (w / work-10                                      :ARG0 p)))))        :snt2 (r / read-01              :ARG0 p              :ARG1 b2              :time (g / get-05                    :ARG1 p                    :ARG2 (h / home)                    :source (w2 / work-01))))	 
Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.	(m / multi-sentence        :snt1 (b / borrow-01              :ARG0 (p / person :name (n / name :op1 "Sara"))              :ARG1 (b2 / book)              :ARG2 (l / library)              :ARG1-of (c2 / cause-01                    :ARG0 (n2 / need-01                          :ARG0 p                          :ARG1 (a / article                                :ARG1-of (w / work-10                                      :ARG0 p)))))        :snt2 (w3 / write-01              :ARG0 p              :ARG1 a              :time (g / get-05                    :ARG1 p                    :ARG2 (h / home)                    :source (w2 / work-01))))	 
